Front	Back	Tags
מהי טעינת אנרגיה במסחר סווינג?	חילוף ידיים בין קונים למוכרים שיוצר בשלות וכוח פוטנציאלי לתנועה הבאה.	מסחר-סווינג::טעינת-אנרגיה subject/הגדרות difficulty/easy
מהם שני הסוגים העיקריים של תיקון או טעינת אנרגיה?	תיקון במחיר ותיקון בזמן.	מסחר-סווינג::טעינת-אנרגיה subject/השוואה difficulty/easy
מהו תיקון בזמן?	התבססות שבה הזמן עובר והאנרגיה נבנית בלי ירידת מחיר משמעותית נוספת.	מסחר-סווינג::טעינת-אנרגיה subject/הגדרות difficulty/medium
מתי מחפשים בעיקר תיקון בזמן במקום תיקון נוסף במחיר?	לאחר שהמניה העולה כבר השלימה תיקון במחיר והגיעה לאזור הרלוונטי.	מסחר-סווינג::טעינת-אנרגיה subject/בחירת-תרחיש difficulty/medium
היכן טעינת אנרגיה נחשבת רלוונטית לעסקת סווינג?	רק בסמוך לרמה קריטית.	מסחר-סווינג::טעינת-אנרגיה subject/תנאי-סף difficulty/easy
מה הקשר בין עוצמת הרמה הקריטית לאורך ההתבססות הנדרש?	ככל שהרמה חזקה יותר ניתן להסתפק בפחות טעינת אנרגיה; רמה חלשה יותר דורשת התבססות ארוכה יותר.	מסחר-סווינג::טעינת-אנרגיה subject/סיבה-ותוצאה difficulty/medium
מדוע התבססות הרחק מרמה קריטית אינה אישור מספק לכניסת סווינג?	חסר לה ההקשר של אזור תמיכה משמעותי, ולכן אין בסיס ברור להנחה שהקונים יגנו על המחיר.	מסחר-סווינג::טעינת-אנרגיה subject/טעויות-נפוצות difficulty/hard
מהו אינדיקטור טכני?	כלי שמוצג על הגרף ומסייע בזיהוי מגמות, בניתוח ובקבלת תמונת מצב על המניה.	מסחר-סווינג::כניסה-לעסקה subject/אינדיקטורים difficulty/easy
מדוע אינדיקטורים טכניים עשויים להשפיע על המחיר?	סוחרים רבים עוקבים אחר אותם אינדיקטורים ופועלים לפיהם, ולכן נוצר אפקט פסיכולוגי שמגשים את הציפייה.	מסחר-סווינג::כניסה-לעסקה subject/פסיכולוגיית-שוק difficulty/medium
מהי הטעות המרכזית בשימוש באינדיקטור טכני?	להיכנס לעסקה על סמך האינדיקטור בלבד, בלי הקשר של מגמה, רמה קריטית וסימני בשלות.	מסחר-סווינג::כניסה-לעסקה subject/טעויות-נפוצות difficulty/easy
מה מודד SMA 200?	את המחיר הממוצע של 200 ימי המסחר האחרונים.	מסחר-סווינג::כניסה-לעסקה subject/SMA200 difficulty/easy
מה מרמז מחיר שנמצא מעל SMA 200?	בדרך כלל על מגמת עלייה בריאה יחסית.	מסחר-סווינג::כניסה-לעסקה subject/SMA200 difficulty/easy
מה מרמז מחיר שנמצא מתחת ל-SMA 200?	בדרך כלל על מגמת ירידה או חולשה כללית.	מסחר-סווינג::כניסה-לעסקה subject/SMA200 difficulty/easy
כיצד משתמשים ב-SMA 200 מעבר לזיהוי כיוון המגמה?	מתייחסים אליו כרמה קריטית דינמית שהמחיר עשוי להגיב אליה.	מסחר-סווינג::כניסה-לעסקה subject/SMA200 difficulty/medium
מדוע אין לדרוש התאמה מושלמת של המחיר לקו SMA 200?	זהו ממוצע דינמי ואזור תגובה, לא מחיר תמיכה מדויק עד הסנט.	מסחר-סווינג::כניסה-לעסקה subject/SMA200 difficulty/medium
מהם שלושת סימני הבשלות המתוארים לכניסת סווינג?	התבססות ארוכה, נר פטיש, ושילוב של זנב ארוך עם נר צר.	מסחר-סווינג::כניסה-לעסקה subject/סימני-בשלות difficulty/easy
מה תפקידו של סימן בשלות בתהליך הכניסה?	לתת אישור שהמניה צברה מספיק כוח לתנועה, לאחר שהגיעה לאזור הכניסה המתוכנן.	מסחר-סווינג::כניסה-לעסקה subject/סימני-בשלות difficulty/medium
מתי התבססות יכולה לשמש טריגר כניסה לעסקת סווינג?	לאחר הגעה לרמה קריטית והשלמת מספר נרות ההתבססות שנדרש לפי עוצמת הרמה.	מסחר-סווינג::כניסה-לעסקה subject/התבססות difficulty/medium
מדוע אין מספר קבוע של נרות התבססות לכל עסקת סווינג?	כי משך טעינת האנרגיה הנדרש משתנה לפי עוצמת הרמה והקשר הגרף.	מסחר-סווינג::כניסה-לעסקה subject/התבססות difficulty/hard
אם רמה אחת חזקה מרמה אחרת, באיזו מהן נדרוש בדרך כלל יותר נרות התבססות?	ברמה החלשה יותר.	מסחר-סווינג::כניסה-לעסקה subject/יישום difficulty/medium
מה צריך לבדוק כאשר נר פטיש חודר זמנית מתחת לרמה קריטית?	האם הדחייה והסגירה מבטאות חזרה של קונים ותמיכה; עצם החדירה הזמנית אינה בהכרח פסילה.	מסחר-סווינג::כניסה-לעסקה subject/נר-פטיש difficulty/hard
מדוע נר פטיש לבדו אינו מספיק לכניסה?	הוא משמעותי רק בתוך הקשר מתאים: מגמה רחבה, רמה קריטית ותגובה תומכת באזור.	מסחר-סווינג::כניסה-לעסקה subject/נר-פטיש difficulty/medium
מהו רצף העבודה המרכזי עד לכניסה לעסקת סווינג?	מיקוד פונדמנטלי → זיהוי מגמה רחבה → סימון רמה קריטית → המתנה לתיקון אליה → טעינת אנרגיה → סימן בשלות וכניסה.	מסחר-סווינג subject/אלגוריתם difficulty/hard
